country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
France,17.8k,18.4k,19k,19.3k,20.1k,20.9k,21.5k,22.5k,23.7k,24.8k,26.5k,28k,28.8k,28.5k,29.5k,31k,33.1k,34.8k,35.9k,35.5k,36.7k,38.4k,38.5k,40.4k,41k,41.7k,43.8k,45.6k,47.6k,51.6k,48.7k,52.5k,56.4k
"Micronesia, Fed. Sts.",,,,2310,2290,2350,2300,2120,2180,2290,2450,2540,2590,2680,2710,2880,2980,3050,3020,3190,3240,3380,3420,3450,3420,3960,3940,4000,3690,4100,4020,4040,4280
Gabon,10.8k,11.5k,10.8k,11k,11.7k,12k,12.4k,13k,13.5k,12.1k,11.4k,11.9k,12.2k,12.1k,11.6k,12.7k,11.9k,12.3k,11.9k,11.9k,12.2k,12.8k,13.2k,13k,14k,12.9k,12.7k,13.6k,13.6k,13.9k,13.9k,12.9k,14.9k
UK,17.5k,17.9k,18.5k,19.4k,20.8k,20k,21.3k,22.7k,23.8k,24.4k,26.6k,28.1k,29.4k,30.7k,32.3k,33.1k,34.6k,35.2k,36.3k,34.7k,36.5k,37.4k,38k,39.3k,40.5k,41.6k,43k,45.5k,46.5k,49.1k,44.8k,50.6k,55.2k
Georgia,,,2580,1830,1700,1800,2160,2660,2890,3080,3140,3400,3660,4170,4610,5220,5990,6850,7110,6960,7430,8120,9720,10.4k,11.4k,11.8k,12.3k,12.9k,14k,14.9k,14.1k,16k,18.8k
Ghana,1560,1660,1720,1800,1850,1920,2000,2070,2140,2210,2280,2370,2450,2550,2700,2880,3030,3220,3490,3590,3790,4260,4690,4980,5100,4870,4620,4690,5010,5340,5620,5800,6400
Guinea,850,860,890,940,970,1010,1040,1090,1120,1160,1190,1240,1320,1280,1310,1340,1460,1560,1610,1550,1620,1690,1740,1700,1720,1760,2010,2370,2440,2540,2470,2500,2870
Gambia,1350,1400,1430,1460,1450,1460,1470,1500,1530,1590,1660,1740,1650,1780,1950,1900,1890,1950,2050,2130,2210,2000,1990,1920,1830,1870,1880,1890,2020,2140,2130,2230,2460
Guinea-Bissau,990,1040,1050,1060,1080,1120,1250,1340,950,950,1010,1030,1030,1030,1070,1120,1160,1210,1220,1250,1300,1410,1320,1300,1390,1590,1740,1880,1830,2010,1940,2020,2220
Equatorial Guinea,620,620,840,910,900,970,1550,4030,4450,5740,5210,5640,7180,6820,8550,12.3k,20.2k,23.2k,24.6k,21.4k,16.7k,19.1k,21.5k,20.6k,19.9k,15.7k,13.8k,14.4k,13.9k,12.4k,12k,12.3k,12.8k
Greece,,,,,,,,,,,,,,,,,28k,28.6k,29.9k,29.7k,27.3k,25k,25.1k,26k,26.8k,26.7k,27.4k,28.5k,29.3k,30.9k,28.2k,31.2k,36.7k
Grenada,4400,4670,4700,4620,4750,4850,5110,5410,6030,6480,6830,6710,6960,7760,7650,9560,9390,10k,10.3k,9290,9600,9910,9910,10.7k,10.9k,11.5k,12.6k,13.3k,14.2k,14.5k,12.9k,13.9k,15.6k
Guatemala,3220,3420,3560,3710,3840,4020,4090,4250,4430,4540,4700,4840,4930,5050,5220,5440,5770,6160,6420,6350,6450,6720,7060,7270,7560,8000,8040,8150,8500,8880,8700,9610,10.6k
